,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
39772,2018-06-02,Székely Land,Matabeleland,5,0,CONIFA World Football Cup,Haringey,England,True
39773,2018-06-02,Padania,Tuvalu,8,0,CONIFA World Football Cup,Haringey,England,True
39774,2018-06-02,United Koreans in Japan,Kabylia,0,0,CONIFA World Football Cup,Bracknell,England,True
39775,2018-06-02,Panjab,Western Armenia,0,1,CONIFA World Football Cup,Slough,England,True
39783,2018-06-03,South Africa,Madagascar,0,0,COSAFA Cup,Polokwane,South Africa,False
39784,2018-06-03,Zimbabwe,Botswana,1,1,COSAFA Cup,Polokwane,South Africa,True
39785,2018-06-03,Tamil Eelam,Cascadia,0,6,CONIFA World Football Cup,Haringey,England,True
39786,2018-06-03,Barawa,Ellan Vannin,2,0,CONIFA World Football Cup,Rotherhithe,England,False
39787,2018-06-03,Abkhazia,Northern Cyprus,2,2,CONIFA World Football Cup,Enfield,England,True
39788,2018-06-03,Kárpátalja,Tibet,5,1,CONIFA World Football Cup,Bracknell,England,True
39789,2018-06-03,Padania,Székely Land,3,1,CONIFA World Football Cup,Bedfont,England,True
39790,2018-06-03,Tuvalu,Matabeleland,1,3,CONIFA World Football Cup,Haringey,England,True
39791,2018-06-03,Panjab,United Koreans in Japan,1,1,CONIFA World Football Cup,Slough,England,True
39792,2018-06-03,Western Armenia,Kabylia,4,0,CONIFA World Football Cup,Enfield,England,True
39797,2018-06-04,India,Kenya,3,0,Intercontinental Cup,Mumbai,India,False
39804,2018-06-05,Chinese Taipei,New Zealand,0,1,Intercontinental Cup,Mumbai,India,True
39805,2018-06-05,South Africa,Namibia,4,1,COSAFA Cup,Polokwane,South Africa,False
39806,2018-06-05,Eswatini,Botswana,0,2,COSAFA Cup,Polokwane,South Africa,True
39807,2018-06-05,Matabeleland,Kabylia,0,0,CONIFA World Football Cup,Enfield,England,True
39808,2018-06-05,Abkhazia,Tamil Eelam,6,0,CONIFA World Football Cup,Aveley,England,True
39809,2018-06-05,United Koreans in Japan,Tuvalu,5,0,CONIFA World Football Cup,Bracknell,England,True
39810,2018-06-05,Barawa,Northern Cyprus,0,8,CONIFA World Football Cup,Sutton,England,False
39811,2018-06-05,Padania,Panjab,2,0,CONIFA World Football Cup,Bracknell,England,True
39812,2018-06-05,Kárpátalja,Cascadia,3,1,CONIFA World Football Cup,Sutton,England,True
39813,2018-06-05,Western Armenia,Székely Land,0,4,CONIFA World Football Cup,Bromley,England,True
39818,2018-06-06,Zambia,Madagascar,1,0,COSAFA Cup,Polokwane,South Africa,True
39819,2018-06-06,Lesotho,Zimbabwe,0,0,COSAFA Cup,Polokwane,South Africa,True
39826,2018-06-07,India,New Zealand,1,2,Intercontinental Cup,Mumbai,India,False
39827,2018-06-07,Tamil Eelam,Tuvalu,4,3,CONIFA World Football Cup,Sutton,England,True
39828,2018-06-07,Tibet,Kabylia,1,8,CONIFA World Football Cup,Enfield,England,True
39829,2018-06-07,Abkhazia,United Koreans in Japan,2,0,CONIFA World Football Cup,Bromley,England,True
39830,2018-06-07,Barawa,Panjab,0,5,CONIFA World Football Cup,Sutton,England,False
39831,2018-06-07,Cascadia,Western Armenia,4,0,CONIFA World Football Cup,Bromley,England,True
39832,2018-06-07,Northern Cyprus,Padania,3,2,CONIFA World Football Cup,Carshalton,England,True
39833,2018-06-07,Kárpátalja,Székely Land,4,2,CONIFA World Football Cup,Carshalton,England,True
39839,2018-06-08,Chinese Taipei,Kenya,0,4,Intercontinental Cup,Mumbai,India,True
39849,2018-06-09,Matabeleland,Tamil Eelam,1,0,CONIFA World Football Cup,Aveley,England,True
39850,2018-06-09,Tibet,United Koreans in Japan,1,1,CONIFA World Football Cup,Rotherhithe,England,True
39851,2018-06-09,Kabylia,Abkhazia,0,2,CONIFA World Football Cup,Aveley,England,True
39852,2018-06-09,Barawa,Western Armenia,0,7,CONIFA World Football Cup,Haringey,England,False
39853,2018-06-09,Panjab,Cascadia,3,3,CONIFA World Football Cup,Rotherhithe,England,True
39854,2018-06-09,Padania,Székely Land,0,0,CONIFA World Football Cup,Enfield,England,True
39855,2018-06-09,Northern Cyprus,Kárpátalja,0,0,CONIFA World Football Cup,Enfield,England,True
39857,2018-06-10,India,Kenya,2,0,Intercontinental Cup,Mumbai,India,False
39862,2018-06-14,Russia,Saudi Arabia,5,0,FIFA World Cup,Moscow,Russia,False
39863,2018-06-15,Egypt,Uruguay,0,1,FIFA World Cup,Ekaterinburg,Russia,True
39864,2018-06-15,Morocco,Iran,0,1,FIFA World Cup,St. Petersburg,Russia,True
39865,2018-06-15,Portugal,Spain,3,3,FIFA World Cup,Sochi,Russia,True
39866,2018-06-16,France,Australia,2,1,FIFA World Cup,Kazan,Russia,True
39867,2018-06-16,Argentina,Iceland,1,1,FIFA World Cup,Moscow,Russia,True
39868,2018-06-16,Peru,Denmark,0,1,FIFA World Cup,Saransk,Russia,True
39869,2018-06-16,Croatia,Nigeria,2,0,FIFA World Cup,Kaliningrad,Russia,True
39870,2018-06-17,Costa Rica,Serbia,0,1,FIFA World Cup,Samara,Russia,True
39871,2018-06-17,Germany,Mexico,0,1,FIFA World Cup,Moscow,Russia,True
39872,2018-06-17,Brazil,Switzerland,1,1,FIFA World Cup,Rostov-on-Don,Russia,True
39873,2018-06-18,Sweden,South Korea,1,0,FIFA World Cup,Nizhny Novgorod,Russia,True
39874,2018-06-18,Belgium,Panama,3,0,FIFA World Cup,Sochi,Russia,True
39875,2018-06-18,Tunisia,England,1,2,FIFA World Cup,Volgograd,Russia,True
39876,2018-06-19,Colombia,Japan,1,2,FIFA World Cup,Saransk,Russia,True
39877,2018-06-19,Poland,Senegal,1,2,FIFA World Cup,Moscow,Russia,True
39878,2018-06-19,Russia,Egypt,3,1,FIFA World Cup,St. Petersburg,Russia,False
39879,2018-06-20,Portugal,Morocco,1,0,FIFA World Cup,Moscow,Russia,True
39880,2018-06-20,Uruguay,Saudi Arabia,1,0,FIFA World Cup,Rostov-on-Don,Russia,True
39881,2018-06-20,Iran,Spain,0,1,FIFA World Cup,Kazan,Russia,True
39882,2018-06-21,Denmark,Australia,1,1,FIFA World Cup,Samara,Russia,True
39883,2018-06-21,France,Peru,1,0,FIFA World Cup,Ekaterinburg,Russia,True
