,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
840,1924-10-25,Argentina,Chile,2,0,Copa América,Montevideo,Uruguay,True
841,1924-10-26,Uruguay,Paraguay,3,1,Copa América,Montevideo,Uruguay,False
842,1924-11-01,Chile,Paraguay,1,3,Copa América,Montevideo,Uruguay,True
844,1924-11-02,Uruguay,Argentina,0,0,Copa América,Montevideo,Uruguay,False
853,1925-02-14,Scotland,Wales,3,1,British Championship,Edinburgh,Scotland,False
855,1925-02-28,Northern Ireland,Scotland,0,3,British Championship,Belfast,Northern Ireland,False
856,1925-02-28,Wales,England,1,2,British Championship,Swansea,Wales,False
865,1925-04-04,Scotland,England,2,0,British Championship,Glasgow,Scotland,False
867,1925-04-18,Wales,Northern Ireland,0,0,British Championship,Wrexham,Wales,False
885,1925-06-14,Sweden,Denmark,0,2,Nordic Championship,Stockholm,Sweden,False
887,1925-06-21,Denmark,Norway,5,1,Nordic Championship,Copenhagen,Denmark,False
894,1925-07-09,Argentina,Paraguay,1,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
896,1925-07-12,Argentina,Paraguay,1,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
904,1925-08-23,Norway,Sweden,3,7,Nordic Championship,Oslo,Norway,False
915,1925-10-24,Northern Ireland,England,0,0,British Championship,Belfast,Northern Ireland,False
919,1925-10-31,Wales,Scotland,0,3,British Championship,Cardiff,Wales,False
925,1925-11-29,Argentina,Paraguay,2,0,Copa América,Buenos Aires,Argentina,False
926,1925-12-06,Brazil,Paraguay,5,2,Copa América,Buenos Aires,Argentina,True
927,1925-12-13,Argentina,Brazil,4,1,Copa América,Buenos Aires,Argentina,False
930,1925-12-17,Brazil,Paraguay,3,1,Copa América,Buenos Aires,Argentina,True
931,1925-12-20,Argentina,Paraguay,3,1,Copa América,Buenos Aires,Argentina,False
932,1925-12-25,Argentina,Brazil,2,2,Copa América,Buenos Aires,Argentina,False
937,1926-02-13,Northern Ireland,Wales,3,0,British Championship,Belfast,Northern Ireland,False
940,1926-02-27,Scotland,Northern Ireland,4,0,British Championship,Glasgow,Scotland,False
941,1926-03-01,England,Wales,1,3,British Championship,London,England,False
948,1926-04-17,England,Scotland,0,1,British Championship,Manchester,England,False
961,1926-05-29,Argentina,Paraguay,2,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
964,1926-06-03,Argentina,Paraguay,2,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
967,1926-06-09,Sweden,Norway,3,2,Nordic Championship,Stockholm,Sweden,False
991,1926-09-19,Norway,Denmark,2,2,Nordic Championship,Oslo,Norway,False
993,1926-10-03,Denmark,Sweden,2,0,Nordic Championship,Copenhagen,Denmark,False
997,1926-10-12,Chile,Bolivia,7,1,Copa América,Santiago,Chile,False
998,1926-10-16,Argentina,Bolivia,5,0,Copa América,Santiago,Chile,True
999,1926-10-17,Chile,Uruguay,1,3,Copa América,Santiago,Chile,False
1000,1926-10-20,Argentina,Paraguay,8,0,Copa América,Santiago,Chile,True
1001,1926-10-20,England,Northern Ireland,3,3,British Championship,Liverpool,England,False
1002,1926-10-23,Bolivia,Paraguay,1,6,Copa América,Santiago,Chile,True
1003,1926-10-24,Argentina,Uruguay,0,2,Copa América,Santiago,Chile,True
1004,1926-10-28,Bolivia,Uruguay,0,6,Copa América,Santiago,Chile,True
1006,1926-10-30,Scotland,Wales,3,0,British Championship,Glasgow,Scotland,False
1007,1926-10-31,Chile,Argentina,1,1,Copa América,Santiago,Chile,False
1009,1926-11-01,Paraguay,Uruguay,1,6,Copa América,Santiago,Chile,True
1010,1926-11-03,Chile,Paraguay,5,1,Copa América,Santiago,Chile,False
1020,1927-02-12,Wales,England,3,3,British Championship,Wrexham,Wales,False
1022,1927-02-26,Northern Ireland,Scotland,0,2,British Championship,Belfast,Northern Ireland,False
1025,1927-04-02,Scotland,England,1,2,British Championship,Glasgow,Scotland,False
1027,1927-04-09,Wales,Northern Ireland,2,2,British Championship,Cardiff,Wales,False
1053,1927-06-19,Sweden,Denmark,0,0,Nordic Championship,Stockholm,Sweden,False
1055,1927-06-26,Norway,Sweden,3,5,Nordic Championship,Oslo,Norway,False
1059,1927-07-14,Uruguay,Argentina,0,1,Copa Newton,Montevideo,Uruguay,False
1067,1927-08-30,Argentina,Uruguay,0,1,Copa Lipton,Buenos Aires,Argentina,False
1071,1927-09-18,Czechoslovakia,Austria,2,0,International Cup,Prague,Czechoslovakia,False
1072,1927-09-25,Hungary,Austria,5,3,International Cup,Budapest,Hungary,False
1077,1927-10-22,Northern Ireland,England,2,0,British Championship,Belfast,Northern Ireland,False
1078,1927-10-23,Czechoslovakia,Italy,2,2,International Cup,Prague,Czechoslovakia,False
1081,1927-10-29,Wales,Scotland,2,2,British Championship,Wrexham,Wales,False
1082,1927-10-30,Argentina,Bolivia,7,1,Copa América,Lima,Peru,True
1083,1927-10-30,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False
1084,1927-11-01,Peru,Uruguay,0,4,Copa América,Lima,Peru,False
1085,1927-11-06,Bolivia,Uruguay,0,9,Copa América,Lima,Peru,True
1086,1927-11-06,Italy,Austria,0,1,International Cup,Bologna,Italy,False
1091,1927-11-13,Peru,Bolivia,3,2,Copa América,Lima,Peru,False
1092,1927-11-20,Argentina,Uruguay,3,2,Copa América,Lima,Peru,True
1094,1927-11-27,Peru,Argentina,1,5,Copa América,Lima,Peru,False
1096,1928-01-01,Italy,Switzerland,3,2,International Cup,Genoa,Italy,False
1099,1928-02-04,Northern Ireland,Wales,1,2,British Championship,Belfast,Northern Ireland,False
1102,1928-02-25,Scotland,Northern Ireland,0,1,British Championship,Glasgow,Scotland,False
1106,1928-03-25,Italy,Hungary,4,3,International Cup,Rome,Italy,False
1107,1928-03-31,England,Scotland,1,5,British Championship,London,England,False
1108,1928-04-01,Austria,Czechoslovakia,0,1,International Cup,Vienna,Austria,False
1117,1928-04-22,Hungary,Czechoslovakia,2,0,International Cup,Budapest,Hungary,False
1128,1928-06-07,Sweden,Norway,6,1,Nordic Championship,Stockholm,Sweden,False
1131,1928-06-17,Norway,Denmark,2,3,Nordic Championship,Oslo,Norway,False
1136,1928-07-25,Latvia,Lithuania,3,0,Baltic Cup,Tallinn,Estonia,True
1137,1928-07-26,Estonia,Lithuania,6,0,Baltic Cup,Tallinn,Estonia,False
1138,1928-07-27,Estonia,Latvia,0,1,Baltic Cup,Tallinn,Estonia,False
1147,1928-08-30,Argentina,Uruguay,1,0,Copa Newton,Avellaneda,Argentina,False
1151,1928-09-21,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False
1156,1928-10-07,Austria,Hungary,5,1,International Cup,Vienna,Austria,False
1157,1928-10-07,Denmark,Sweden,3,1,Nordic Championship,Copenhagen,Denmark,False
1158,1928-10-14,Switzerland,Italy,2,3,International Cup,Zürich,Switzerland,False
1159,1928-10-22,England,Northern Ireland,2,1,British Championship,Liverpool,England,False
1161,1928-10-27,Scotland,Wales,4,2,British Championship,Glasgow,Scotland,False
1162,1928-10-28,Austria,Switzerland,2,0,International Cup,Vienna,Austria,False
1164,1928-11-01,Hungary,Switzerland,3,1,International Cup,Budapest,Hungary,False
1167,1928-11-17,Wales,England,2,3,British Championship,Swansea,Wales,False
1170,1929-02-02,Wales,Northern Ireland,2,2,British Championship,Wrexham,Wales,False
1172,1929-02-23,Northern Ireland,Scotland,3,7,British Championship,Belfast,Northern Ireland,False
1174,1929-03-03,Italy,Czechoslovakia,4,2,International Cup,Bologna,Italy,False
1179,1929-04-07,Austria,Italy,3,0,International Cup,Vienna,Austria,False
1180,1929-04-13,Scotland,England,1,0,British Championship,Glasgow,Scotland,False
1182,1929-04-14,Switzerland,Hungary,4,5,International Cup,Berne,Switzerland,False
1192,1929-05-05,Switzerland,Czechoslovakia,1,4,International Cup,Lausanne,Switzerland,False
1205,1929-06-14,Sweden,Finland,3,1,Nordic Championship,Stockholm,Sweden,False
1207,1929-06-16,Sweden,Denmark,3,2,Nordic Championship,Gothenburg,Sweden,False
1209,1929-06-18,Norway,Finland,4,0,Nordic Championship,Oslo,Norway,False
1210,1929-06-23,Denmark,Norway,2,5,Nordic Championship,Copenhagen,Denmark,False
1217,1929-08-14,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,False
1218,1929-08-15,Estonia,Lithuania,5,2,Baltic Cup,Riga,Latvia,True
1219,1929-08-16,Latvia,Estonia,2,2,Baltic Cup,Riga,Latvia,False
1221,1929-09-08,Czechoslovakia,Hungary,1,1,International Cup,Prague,Czechoslovakia,False
1226,1929-09-20,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay,False
1227,1929-09-28,Argentina,Uruguay,0,0,Copa Lipton,Buenos Aires,Argentina,False
1228,1929-09-29,Norway,Sweden,2,1,Nordic Championship,Oslo,Norway,False
1229,1929-10-06,Czechoslovakia,Switzerland,5,0,International Cup,Prague,Czechoslovakia,False
1231,1929-10-06,Romania,Yugoslavia,2,1,Balkan Cup,Bucharest,Romania,False
1232,1929-10-13,Denmark,Finland,8,0,Nordic Championship,Copenhagen,Denmark,False
1233,1929-10-19,Northern Ireland,England,0,3,British Championship,Belfast,Northern Ireland,False
1236,1929-10-26,Wales,Scotland,2,4,British Championship,Cardiff,Wales,False
1237,1929-10-27,Switzerland,Austria,1,3,International Cup,Berne,Switzerland,False
1239,1929-11-01,Paraguay,Uruguay,3,0,Copa América,Buenos Aires,Argentina,True
1241,1929-11-03,Argentina,Peru,3,0,Copa América,Buenos Aires,Argentina,False
1244,1929-11-10,Argentina,Paraguay,4,1,Copa América,Buenos Aires,Argentina,False
1245,1929-11-11,Peru,Uruguay,1,4,Copa América,Buenos Aires,Argentina,True
1248,1929-11-16,Paraguay,Peru,5,0,Copa América,Avellaneda,Argentina,True
1249,1929-11-17,Argentina,Uruguay,2,0,Copa América,Buenos Aires,Argentina,False
1250,1929-11-20,England,Wales,6,0,British Championship,London,England,False
1254,1930-01-26,Greece,Yugoslavia,2,1,Balkan Cup,Athens,Greece,False
1255,1930-02-01,Northern Ireland,Wales,7,0,British Championship,Belfast,Northern Ireland,False
1258,1930-02-22,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False
1263,1930-04-05,England,Scotland,5,2,British Championship,London,England,False
1277,1930-05-11,Hungary,Italy,0,5,International Cup,Budapest,Hungary,False
1281,1930-05-25,Argentina,Uruguay,1,1,Copa Newton,Buenos Aires,Argentina,False
1283,1930-05-25,Romania,Greece,8,1,Balkan Cup,Bucharest,Romania,False
1287,1930-06-01,Norway,Finland,6,2,Nordic Championship,Oslo,Norway,False
1294,1930-06-16,Finland,Denmark,1,6,Nordic Championship,Helsinki,Finland,False
1296,1930-06-22,Denmark,Sweden,6,1,Nordic Championship,Copenhagen,Denmark,False
1299,1930-07-06,Sweden,Norway,6,3,Nordic Championship,Stockholm,Sweden,False
1300,1930-07-13,Belgium,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True
1301,1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True
1302,1930-07-14,Brazil,Yugoslavia,1,2,FIFA World Cup,Montevideo,Uruguay,True
1303,1930-07-14,Peru,Romania,1,3,FIFA World Cup,Montevideo,Uruguay,True
1304,1930-07-15,Argentina,France,1,0,FIFA World Cup,Montevideo,Uruguay,True
1305,1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True
1306,1930-07-17,Bolivia,Yugoslavia,0,4,FIFA World Cup,Montevideo,Uruguay,True
1307,1930-07-17,Paraguay,United States,0,3,FIFA World Cup,Montevideo,Uruguay,True
1309,1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Montevideo,Uruguay,False
1310,1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True
1311,1930-07-19,Chile,France,1,0,FIFA World Cup,Montevideo,Uruguay,True
1312,1930-07-20,Belgium,Paraguay,0,1,FIFA World Cup,Montevideo,Uruguay,True
1313,1930-07-20,Bolivia,Brazil,0,4,FIFA World Cup,Montevideo,Uruguay,True
1314,1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Montevideo,Uruguay,False
1315,1930-07-22,Argentina,Chile,3,1,FIFA World Cup,Montevideo,Uruguay,True
1317,1930-07-26,Argentina,United States,6,1,FIFA World Cup,Montevideo,Uruguay,True
1318,1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,Montevideo,Uruguay,False
1319,1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Montevideo,Uruguay,False
1325,1930-08-15,Lithuania,Estonia,2,1,Baltic Cup,Kaunas,Lithuania,False
1326,1930-08-16,Estonia,Latvia,2,3,Baltic Cup,Kaunas,Lithuania,True
1328,1930-08-17,Lithuania,Latvia,3,3,Baltic Cup,Kaunas,Lithuania,False
1332,1930-09-21,Norway,Denmark,1,0,Nordic Championship,Oslo,Norway,False
1334,1930-09-28,Finland,Sweden,4,4,Nordic Championship,Helsinki,Finland,False
1337,1930-10-12,Bulgaria,Romania,5,3,Balkan Cup,Sofia,Bulgaria,False
1338,1930-10-20,England,Northern Ireland,5,1,British Championship,Sheffield,England,False
1339,1930-10-25,Scotland,Wales,1,1,British Championship,Glasgow,Scotland,False
1345,1930-11-16,Bulgaria,Yugoslavia,0,3,Balkan Cup,Sofia,Bulgaria,False
1346,1930-11-22,Wales,England,0,4,British Championship,Wrexham,Wales,False
1349,1930-12-07,Greece,Bulgaria,6,1,Balkan Cup,Athens,Greece,False
1355,1931-02-21,Northern Ireland,Scotland,0,0,British Championship,Belfast,Northern Ireland,False
1356,1931-02-22,Italy,Austria,2,1,International Cup,Milan,Italy,False
1365,1931-03-15,Yugoslavia,Greece,4,1,Balkan Cup,Belgrade,Yugoslavia,False
1366,1931-03-22,Czechoslovakia,Hungary,3,3,International Cup,Prague,Czechoslovakia,False
1367,1931-03-28,Scotland,England,2,0,British Championship,Glasgow,Scotland,False
1369,1931-03-29,Switzerland,Italy,1,1,International Cup,Berne,Switzerland,False
1371,1931-04-12,Austria,Czechoslovakia,2,1,International Cup,Vienna,Austria,False
1372,1931-04-12,Hungary,Switzerland,6,2,International Cup,Budapest,Hungary,False
1376,1931-04-19,Yugoslavia,Bulgaria,1,0,Balkan Cup,Belgrade,Yugoslavia,False
1377,1931-04-22,Wales,Northern Ireland,3,2,British Championship,Wrexham,Wales,False
1381,1931-05-03,Austria,Hungary,0,0,International Cup,Vienna,Austria,False
1383,1931-05-10,Romania,Bulgaria,5,2,Balkan Cup,Bucharest,Romania,False
1391,1931-05-25,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False
1395,1931-06-13,Czechoslovakia,Switzerland,7,3,International Cup,Prague,Czechoslovakia,False
1402,1931-06-28,Sweden,Denmark,3,1,Nordic Championship,Stockholm,Sweden,False
1403,1931-06-28,Yugoslavia,Romania,2,4,Balkan Cup,Zagreb,Yugoslavia,False
1405,1931-07-03,Sweden,Finland,8,2,Nordic Championship,Stockholm,Sweden,False
1406,1931-07-04,Argentina,Paraguay,1,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1408,1931-07-09,Argentina,Paraguay,3,1,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1414,1931-08-30,Estonia,Lithuania,2,0,Baltic Cup,Tallinn,Estonia,False
1415,1931-08-31,Latvia,Lithuania,1,0,Baltic Cup,Tallinn,Estonia,True
1416,1931-09-01,Estonia,Latvia,3,1,Baltic Cup,Tallinn,Estonia,False
1417,1931-09-06,Brazil,Uruguay,2,0,Copa Rio Branco,Rio de Janeiro,Brazil,False
1418,1931-09-06,Finland,Norway,4,4,Nordic Championship,Helsinki,Finland,False
1420,1931-09-19,Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False
1422,1931-09-27,Bulgaria,Turkey,5,1,Balkan Cup,Sofia,Bulgaria,False
1425,1931-09-27,Norway,Sweden,2,1,Nordic Championship,Oslo,Norway,False
1426,1931-10-02,Turkey,Yugoslavia,2,0,Balkan Cup,Sofia,Bulgaria,True
1427,1931-10-04,Bulgaria,Yugoslavia,3,2,Balkan Cup,Sofia,Bulgaria,False
1428,1931-10-04,Hungary,Austria,2,2,International Cup,Budapest,Hungary,False
1430,1931-10-11,Denmark,Finland,2,3,Nordic Championship,Copenhagen,Denmark,False
1432,1931-10-17,Northern Ireland,England,2,6,British Championship,Belfast,Northern Ireland,False
1433,1931-10-25,Bulgaria,Greece,2,1,Balkan Cup,Sofia,Bulgaria,False
1435,1931-10-31,Wales,Scotland,2,3,British Championship,Wrexham,Wales,False
1437,1931-11-15,Italy,Czechoslovakia,2,2,International Cup,Rome,Italy,False
1438,1931-11-18,England,Wales,3,1,British Championship,Liverpool,England,False
1440,1931-11-29,Greece,Romania,2,4,Balkan Cup,Athens,Greece,False
1441,1931-11-29,Switzerland,Austria,1,8,International Cup,Basel,Switzerland,False
1442,1931-12-05,Northern Ireland,Wales,4,0,British Championship,Belfast,Northern Ireland,False
1446,1931-12-13,Italy,Hungary,3,2,International Cup,Turin,Italy,False
1447,1932-02-14,Italy,Switzerland,3,0,International Cup,Naples,Italy,False
1451,1932-03-20,Austria,Italy,2,1,International Cup,Vienna,Austria,False
1459,1932-04-09,England,Scotland,3,0,British Championship,London,England,False
1464,1932-04-17,Switzerland,Czechoslovakia,5,1,International Cup,Zürich,Switzerland,False
1474,1932-05-08,Hungary,Italy,1,1,International Cup,Budapest,Hungary,False
1479,1932-05-22,Czechoslovakia,Austria,1,1,International Cup,Prague,Czechoslovakia,False
1487,1932-06-10,Finland,Sweden,1,3,Nordic Championship,Helsinki,Finland,False
1490,1932-06-17,Norway,Finland,2,1,Nordic Championship,Oslo,Norway,False
1491,1932-06-19,Denmark,Sweden,3,1,Nordic Championship,Copenhagen,Denmark,False
1492,1932-06-19,Switzerland,Hungary,3,1,International Cup,Berne,Switzerland,False
1493,1932-06-26,Bulgaria,Romania,2,0,Balkan Cup,Belgrade,Yugoslavia,True
1494,1932-06-26,Yugoslavia,Greece,7,1,Balkan Cup,Belgrade,Yugoslavia,False
1495,1932-06-28,Greece,Romania,0,3,Balkan Cup,Belgrade,Yugoslavia,True
1497,1932-06-30,Yugoslavia,Bulgaria,2,3,Balkan Cup,Belgrade,Yugoslavia,False
1499,1932-07-01,Sweden,Norway,1,4,Nordic Championship,Gothenburg,Sweden,False
1500,1932-07-02,Bulgaria,Greece,2,0,Balkan Cup,Belgrade,Yugoslavia,True
1501,1932-07-03,Yugoslavia,Romania,3,1,Balkan Cup,Belgrade,Yugoslavia,False
1509,1932-08-28,Latvia,Lithuania,4,1,Baltic Cup,Riga,Latvia,False
1510,1932-08-29,Estonia,Lithuania,1,2,Baltic Cup,Riga,Latvia,True
1511,1932-08-30,Finland,Denmark,4,2,Nordic Championship,Helsinki,Finland,False
1512,1932-08-30,Latvia,Estonia,1,0,Baltic Cup,Riga,Latvia,False
1514,1932-09-17,Northern Ireland,Scotland,0,4,British Championship,Belfast,Northern Ireland,False
1515,1932-09-18,Hungary,Czechoslovakia,2,1,International Cup,Budapest,Hungary,False
1517,1932-09-25,Norway,Denmark,1,2,Nordic Championship,Oslo,Norway,False
1523,1932-10-17,England,Northern Ireland,1,0,British Championship,Blackpool,England,False
1524,1932-10-23,Austria,Switzerland,3,1,International Cup,Vienna,Austria,False
1525,1932-10-26,Scotland,Wales,2,5,British Championship,Edinburgh,Scotland,False
1526,1932-10-28,Czechoslovakia,Italy,2,1,International Cup,Prague,Czechoslovakia,False
1530,1932-11-16,Wales,England,0,0,British Championship,Wrexham,Wales,False
